platz,team,spiele,siege,unentschieden,niederlagen,tore_erzielt,tore_erhalten,tordiff,punkte
1,Bayer 04 Leverkusen,34,28,6,0,89,24,65,90
2,VfB Stuttgart,34,23,4,7,78,39,39,73
3,FC Bayern München,34,23,3,8,94,45,49,72
4,RB Leipzig,34,19,8,7,77,39,38,65
5,Borussia Dortmund,34,18,9,7,68,43,25,63
6,Eintracht Frankfurt,34,11,14,9,51,50,1,47
7,TSG Hoffenheim,34,13,7,14,66,66,0,46
8,1. FC Heidenheim 1846,34,10,12,12,50,55,-5,42
9,SV Werder Bremen,34,11,9,14,48,54,-6,42
10,Sport-Club Freiburg,34,11,9,14,45,58,-13,42
11,FC Augsburg,34,10,9,15,50,60,-10,39
12,VfL Wolfsburg,34,10,7,17,41,56,-15,37
13,1. FSV Mainz 05,34,7,14,13,39,51,-12,35
14,Borussia Mönchengladbach,34,7,13,14,56,67,-11,34
15,1. FC Union Berlin,34,9,6,19,33,58,-25,33
16,VfL Bochum 1848,34,7,12,15,42,74,-32,33
17,1. FC Köln,34,5,12,17,28,60,-32,27
18,SV Darmstadt 98,34,3,8,23,30,86,-56,17
