platz,team,spiele,siege,unentschieden,niederlagen,tore_erzielt,tore_erhalten,tordiff,punkte
1,FC St. Pauli,34,20,9,5,62,36,26,69
2,Holstein Kiel,34,21,5,8,65,39,26,68
3,Fortuna Düsseldorf,34,18,9,7,72,40,32,63
4,Hamburger SV,34,17,7,10,64,44,20,58
5,Karlsruher SC,34,15,10,9,68,48,20,55
6,Hannover 96,34,13,13,8,59,44,15,52
7,SC Paderborn 07,34,15,7,12,54,54,0,52
8,SpVgg Greuther Fürth,34,14,8,12,50,49,1,50
9,Hertha BSC,34,13,9,12,69,59,10,48
10,FC Schalke 04,34,12,7,15,53,60,-7,43
11,SV Elversberg,34,12,7,15,49,63,-14,43
12,1. FC Nürnberg,34,11,7,16,43,64,-21,40
13,1. FC Kaiserslautern,34,11,6,17,59,64,-5,39
14,1. FC Magdeburg,34,9,11,14,46,54,-8,38
15,Eintracht Braunschweig,34,11,5,18,37,53,-16,38
16,SV Wehen Wiesbaden,34,8,8,18,36,50,-14,32
17,F.C. Hansa Rostock,34,9,4,21,30,57,-27,31
18,VfL Osnabrück,34,6,10,18,31,69,-38,28
